label,summary
1,"The CMA is investigating the anticipated acquisition by Illumina, Inc. of Pacific Biosciences of California, Inc."
1,The CMA is investigating the completed acquisition by JD Sports Fashion plc of Footasylum plc.
1,The CMA investigated and cleared the proposed acquisition by Inspired Entertainment Inc of certain businesses of Novomatic (UK) Limited.
0,"The proposed merger of 2 DNA sequencing system firms, Illumina and PacBio, raises competition concerns, an in-depth CMA review has provisionally found."
1,The CMA is investigating the anticipated acquisition by OVO Group Ltd of SSE Energy Services Group Ltd.
1,The CMA is investigating the completed acquisition by SSCP Spring Bidco Limited (trading as National Fostering Agency) of Boston Holdco A Limited (trading as Outcomes First Group).
0,The CMA has issued a decision imposing fines on suppliers of pre-cast concrete drainage products for breaching competition law.
0,The CMA has issued 3 firms with fines totalling more than £36 million for breaking competition law in supplying certain concrete drainage products for building projects.
1,"The CMA is investigating the anticipated acquisition by Roche Holdings, Inc. of Spark Therapeutics, Inc. "
0,The CMA is investigating suspected breaches of the Chapter I prohibition and Article 101 TFEU in the use of certain retail most favoured nation clauses by a price comparison website in relation to home insurance products.
1,The CMA is investigating the anticipated acquisition by USCO SpA of Knockturn Limited (trading as Strickland Tracks Limited).
0,"More than 7,000 customers are to be refunded after the CMA found Nationwide failed to send important PPI information."
0,"Directions issued by the CMA to Nationwide, to ensure it complies with the Payment Protection Insurance Market Investigation Order 2011."
1,The CMA is investigating the anticipated acquisition by Sabre Holdings Corporation of Farelogix Inc.
0,The CMA investigated the supply of personal current accounts (PCAs) and of banking services to small and medium-sized enterprises (SMEs).
0,"Stuart Hudson has been appointed to the newly-created role of Senior Director for Strategy, Communications, Nations and Regions at the CMA."
0,The CMA's designation notice to Ocado Retail Ltd under the Groceries (Supply Chain Practices) Market Investigation Order 2009.
1,The CMA is investigating the acquisition by Amazon.com NV Investment Holdings LLC of certain rights and a minority shareholding in Roofoods Ltd (trading as Deliveroo).
1,The CMA is investigating the anticipated acquisition by Cartamundi NV of Naipes Heraclio Fournier S.A. and the United States Playing Cards Company.
0,Data on senior officials’ business expenses.
1,The CMA is investigating the completed acquisition by Rentokil Initial plc of Cannon Hygiene Limited.
1,The CMA is investigating the completed acquisition by Rentokil Initial plc of MPCL Limited (formerly Mitie Pest Control Limited).
1,"The CMA investigated and cleared the proposed acquisition of joint control over Wildlife Holdings Inc. by Anschutz Entertainment Group, Inc. and Onex Corporation following the European Commission’s decision to partially refe…"
1,The CMA is investigating the anticipated acquisition by Stonegate Pub Company Limited of Ei Group plc.
0,The CMA is researching aspects of the Scottish legal services market to support the Scottish Government’s response to the Roberton Review.
0,Statistics showing the outcomes of merger inquiries examined under the Enterprise Act 2002.
0,The CMA is investigating suspected anti-competitive arrangements in the supply of construction services in Great Britain which may infringe Chapter I of the Competition Act 1998.
1,The CMA is investigating the completed acquisition by Ecolab Inc. of The Holchem Group Limited.
0,The CMA has found anti-competitive practices in the digital piano and digital keyboard sector which infringe Chapter I CA98 and/or Article 101 TFEU.
0,The CMA is investigating alleged anti-competitive agreements in the guitar sector under Chapter I CA98 and Article 101 TFEU.
0,The CMA has provisionally found that Fender Europe broke competition law by restricting online discounting for its guitars.
0,Structure of the Competition and Markets Authority (CMA).
0,The CMA has decided that Ecolab must sell off Holchem to prevent potential price rises or a lower quality of service as a result of their merger.
0,The CMA has found that payment software firm Bottomline Technologies’ purchase of Experian Payments Gateway (EPG) may reduce competition.
1,"The CMA is investigating the anticipated acquisition by Liqui-Box, Inc., of DS Smith flexible and rigid plastic packaging business."
0,Find reports and updates on current and historical CMA investigations
1,The CMA investigated and cleared the anticipated acquisition by MUFG Bank Ltd relating to the aviation business of DVB Bank SE and the anticipated acquisition of the AAM/AIM Business.
0,"Guidance for lettings professionals on complying with consumer protection laws, and laws about dealing with other businesses.

"
0,The CMA is investigating alleged anti-competitive agreements and conduct in the pharmaceutical sector under Chapters I and II CA98 and Articles 101 and 102 TFEU.
0,The CMA has provisionally found that 3 drug firms signed an illegal agreement that resulted in significant price hikes for an essential medicine.
0,External disclosures made to the CMA between 1 April 2018 to 31 March 2019 which we reasonably believe are 'qualifying disclosures' and the action taken for each case
0,The Competition and Markets Authority is carrying out a market study into online platforms and the digital advertising market in the UK.
1,The CMA investigated and cleared the anticipated acquisition by Aintree University Hospital NHS Foundation Trust of The Royal Liverpool and Broadgreen University Hospitals NHS Trust.
0,The Competition and Markets Authority (CMA) is holding a major conference in Edinburgh exploring the challenges faced by consumers and how best to tackle them.
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,"Reports on departmental spending over £25,000."
1,"The CMA is investigating the completed acquisition by PayPal Holdings, Inc. of iZettle AB. "
0,The CMA is investigating alleged anti-competitive agreements and conduct in the pharmaceutical sector in relation to a generic drug under Chapter I CA98 and Article 101 TFEU.
0,"Two suppliers of the antidepressant, nortriptyline, have admitted illegally sharing information in order to keep prices up."
1,The CMA has found that JD Sports’ takeover of close competitor Footasylum could be bad for shoppers.
0,Business Secretary Andrea Leadsom responds to the proposed acquisition of UK defence company Cobham plc by Advent International.
0,Notice relating to the proposed acquisition of Cobham PLC by Advent International.
0,CMA launches consumer law investigation into hotel booking sites.
0,People booking hotels online can now do so with more confidence following a CMA probe of the sector.
0,The CMA has launched a review of Part 6 of the Order relating to unarranged overdraft alerts.
0,How the CMA is preparing for Brexit.
1,The CMA is investigating the anticipated acquisition by Calvin Capital UK Holdings Limited of BV Holdings Limited.
0,The CMA is investigating the award of the East Midlands rail franchise to Abellio East Midlands Limited.
0,The CMA is investigating suspected breaches of consumer protection law in the online secondary tickets market.
0,"Following continued pressure, viagogo has now addressed the CMA’s outstanding concerns about how it presents important information to its customers."
1,The CMA has found that the proposed deal between Floatel and Prosafe raises competition concerns in the supply of offshore accommodation.
0,A letter from the Chair of the CMA outlining concerns on the cost of school uniforms.
0,"The CMA is investigating the Atlantic Joint Business Agreement between American Airlines, members of International Airlines Group (British Airways and Iberia) and Finnair under Chapter I of the CA98 and Article 101 of the TF…"
0,The CMA's designation notice to TJ Morris Ltd under the Groceries (Supply Chain Practices) Market Investigation Order 2009.
0,The CMA has announced that industry rules setting out how retailers should treat their suppliers will now apply to discount retailer TJ Morris (Home Bargains).
1,The CMA is investigating the completed acquisition by Bauer Radio Limited (part of Bauer Media Group) of certain assets of the Celador Entertainment business. 
1,The CMA is investigating the completed acquisition by Bauer Radio Limited (part of the Bauer Media Group) of certain assets of the Lincs FM Group Limited business.
1,The CMA is investigating the anticipated acquisition by Bauer Radio Limited (part of Bauer Media Group) of UKRD Group Limited.
1,The CMA is investigating the completed acquisition by Scala Radio LP (part of Bauer Media Group) of certain assets of the Wireless Group Limited business.
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,The minutes of the CMA board meeting on 7 May 2019
1,The CMA investigated and cleared the anticipated acquisition by OneSavings Bank PLC of Charter Court Financial Services Group PLC.
0,"The CMA has today taken action against RBS and Santander after they failed to send, or sent inaccurate, annual PPI reminders."
0,"Directions issued by the CMA to Santander, to ensure it complies with the Payment Protection Insurance Market Investigation Order 2011."
0,"Directions issued by the CMA to RBS, to ensure it complies with the Payment Protection Insurance Market Investigation Order 2011. "
0,The CMA has received commitments from 7 universities.
0,"Following CMA action, the University of Liverpool has formally committed to drop academic sanctions for non-tuition fee debts."
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,Sabre’s proposed takeover of Farelogix raises competition concerns in the supply of IT systems used by airlines and travel agents to sell airline tickets.
0,Train passengers travelling between Norwich and Ely will benefit from their fares being capped following a CMA investigation.
1,The CMA has ordered Tobii to sell Smartbox after finding their completed merger could lead to a reduction in the range of products available and higher prices.
0,The third set of banking customer satisfaction results have today been published following a survey of thousands of customers.
0,"Drug firm Aspen has offered to pay the NHS £8m, as part of a wider package, to resolve competition concerns over the supply of a vital medicine."
0,"The Competition and Markets Authority (CMA) has moved into its new office, The Cabot in Canary Wharf."
0,Letter to Nationwide about further non-compliance with the Northern Ireland Personal Current Account Banking Market Investigation Order 2008. 
0,Nationwide has committed to refund £6m to affected current account customers after it broke a legal order from the CMA.
0,Directions issued to Nationwide about rules on providing alerts to customers on unarranged overdraft charges. 
0,Memorandums of understanding between the Competition and Markets Authority and the Financial Conduct Authority. 
0,The CMA investigated alleged anti-competitive agreements in the musical instruments sector under Chapter I CA98 and Article 101 TFEU.
1,The CMA has provisionally found that Ecolab’s merger with Holchem may mean businesses face higher prices or a lower quality of service for their cleaning chemicals.
0,The CMA is investigating alleged anti-competitive agreements in the musical instruments and equipment sector under Chapter I CA98 and Article 101 TFEU.
0,The CMA is investigating alleged anti-competitive agreements in the musical instruments and equipment sector under Chapter I CA98 and Article 101 TFEU.
0,The CMA is investigating alleged anti-competitive agreements and conduct in the entertainment and recreation services sector under Chapters I and II CA98 and Articles 101 and 102 TFEU.
0,How long the CMA takes to pay invoices.
0,How long the CMA takes to pay invoices.
0,The CMA has fined Casio £3.7 million for breaking competition law by preventing online discounting for its digital pianos and keyboards.
0,Minutes from the legal services Remedies Programme Implementation Group meetings for 2019.
0,The CMA has secured the disqualification of 6 current and former directors whose companies breached competition law.
0,"The CMA has secured the disqualification of 3 more office fit-out company directors for illegal cartel behaviour, bringing the total number to 6."
0,The CMA has published its final decision in its review of the Energy Market Investigation (Prepayment Charge Restriction) Order 2016
0,"Following a review, the CMA has recommended protecting people who pay for their energy upfront for longer with an adjusted price cap."
0,The CMA is investigating concerns that some care homes may be breaching consumer law.
0,The CMA is investigating alleged anti-competitive agreements in the pharmaceutical sector under Chapter I CA98 and Article 101 TFEU (case reference: 50511-1).
0,The CMA has provisionally found that sellers of the antibiotic Nitrofurantoin broke competition law by arranging to carve up the market between them.
0,The CMA is carrying out a market investigation into the supply of services by funeral directors at the point of need and the supply of crematoria services
0,The CMA is concerned that a series of radio takeovers by Bauer Media raises competition concerns.
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,The CMA has raised concerns that passengers could face higher fares on two routes in the Norwich–Ely area under the new East Midlands Rail franchise.
1,The CMA has found food and drink suppliers could get a worse deal on their packaging if 2 specialist firms merge.
0,"Competition rules need to change to prevent potential new forms of consumer harm, Business Secretary Greg Clark said today."
0,The Competition and Markets Authority has today published its Annual Report. 
0,"The estimated direct financial benefits to consumers from the CMA’s competition, markets, mergers and consumer work."
0,The Competition and Markets Authority's (CMA) fifth annual report covers the financial year 2018 to 2019.
0,The CMA investigated and cleared the completed acquisition by Nicholls’ (Fuel Oils) Limited of the oil distribution business of DCC Energy Limited in Northern Ireland. 
0,"
LN-Gaiety’s (Live Nation) proposed takeover of MCD raises competition concerns in the music promotion industry in Northern Ireland, a CMA investigation has found."
0,The CMA is investigating alleged anti-competitive agreements and abusive conduct with respect to hydrocortisone tablets under Chapters I and II CA98 and Articles 101 and 102 TFEU.
0,The CMA is investigating alleged anti-competitive agreements and abusive conduct with respect to hydrocortisone tablets under Chapters I and II CA98 and Articles 101 and 102 TFEU.
0,The CMA is investigating alleged excessive and unfair prices with respect to hydrocortisone tablets under Chapter II CA98 and Article 102 TFEU.
0,The CMA's response to the Department for Transport’s (DfT) Green Paper which outlines proposals for a new government aviation strategy.
1,The CMA is investigating the anticipated merger between J Sainsbury Plc and Asda Group Ltd.
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,"Reports on departmental spending over £25,000."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,The CMA is investigating suspected anti-competitive arrangements in the private healthcare sector under the Competition Act 1998.
0,The CMA has directed Barclays to improve its practices after the bank broke rules designed to protect small businesses.
0,"Directions issued by the CMA to Barclays, to ensure it complies with specific undertakings on banking services for SMEs."
0,An annual audit into whether 8 leading UK banks are complying with undertakings they gave on not to bundle loans and accounts.
0,The CMA is to move forward with legal proceedings for contempt of court against viagogo following concerns it has failed to comply fully with a court order.
0,CMA report for 9 June 2018 to 20 June 2019 on regulatory provisions against the business impact target.
0,"The CMA has launched its digital markets strategy, setting out how it will continue to protect consumers in rapidly developing digital markets, while fostering innovation."
0,The CMA's strategy to protect consumers and foster innovation in rapidly developing digital markets.
1,"The CMA investigated and cleared the anticipated acquisition of First Data Corporation by Fiserv, Inc."
1,"The CMA is seeking the views of interested parties, particularly merging parties and legal advisers involved in transactions where interim measures may be relevant."
0,Guidance for merging parties and legal advisers on the CMA’s use of Interim Measures and derogations in merger investigations. 
1,The CMA considered the completed minority acquisition by International Media Company (IMC) of Lebedev Holdings Limited (LHL) together with the completed minority acquisition by Scalable LP of Independent Digital Media News L…
0,The CMA is investigating suspected anti-competitive arrangements in the UK roofing materials sector under the Competition Act 1998.
1,The CMA investigated and cleared the anticipated acquisition by AstenJohnson Holdings Limited of the paper machine clothing business of Heimbach GmbH.
1,The CMA investigated the anticipated acquisition by Tadano Limited of the Demag Brand Crane Business and 8 subsidiaries of Terex Corporation.
0,This collection brings together all documents about our spend on non-consolidated performance related pay.
0,Data on senior officials’ business expenses.
0,Data on senior officials’ business expenses.
0,The CMA has urged Facebook and eBay to act to stop the sale of fake reviews through their sites.
0,The CMA has urged Facebook and eBay to act to stop the sale of fake reviews through their sites.
0,Information on non-consolidated performance related pay data for the Competition and Markets Authority.
0,Information on non-consolidated performance related pay data for the Competition and Markets Authority.
1,The CMA investigated and cleared the completed acquisition by Core Assets Group Limited of Partnership in Children’s Services Limited and Boston HoldCo B Limited.
0,The CMA is investigating the anti-virus software sector following concerns that some firms in the industry may not be complying with consumer law.
0,"The CMA investigated concerns that people who stay with their provider can end up paying significantly more than new customers, following a super-complaint from Citizens Advice into this matter."
0,The CMA is investigating the anticipated acquisition by Iconex LLC of Hansol Denmark ApS and R+S Group GmbH.
0,The CMA is investigating alleged anti-competitive agreements and conduct in the pharmaceutical sector in relation to a generic drug under Chapters I and II CA98 and Articles 101 and 102 TFEU.
0,The CMA has provisionally found that 4 pharmaceutical companies broke competition law in relation to the supply of an anti-depressant drug. 
1,"This research report evaluates 18 merger remedies put in place by the CC, OFT and the CMA ."
0,"Illumina’s proposed takeover of PacBio raises competition concerns in the supply of specialist DNA sequencing systems in the UK, a CMA investigation has found."
0,Tough new powers for competition watchdog to fine businesses directly who have broken consumer law.
0,The CMA will undertake research into certain aspects of the Scottish legal services market to support the Scottish Government’s response to the Roberton Review.
0,The CMA’s response to the Roberton Review on the regulation of legal services in Scotland.
1,The CMA investigated the anticipated acquisition by Non-Standard Finance plc of Provident Financial plc.
0,The CMA has today announced its provisional finding that 4 Berkshire estate agents have broken competition law.
0,The CMA is investigating suspected anti-competitive arrangement(s) in the residential estate agency sector which may infringe Chapter I of the Competition Act
0,The CMA reviewed the Northern Ireland Personal Current Account (PCA) Banking Market Investigation Order 2008.
1,The CMA investigated and cleared the proposed acquisition by Rheinmetall Defence UK Ltd of BAE Systems Global Combat Systems Ltd.
0,"The CMA has cleared PayPal’s completed takeover of rival mobile payments company iZettle after an in-depth, Phase 2, investigation."
1,The CMA investigated the anticipated acquisition by Send For Help Limited of SoloProtect Limited and SoloProtect US LLC
0,Speech at City & Financial Global ‘Future of UK Competition Law’ summit 
0,The Competition and Markets Authority (CMA) has today formally launched an investigation to find out whether people are being treated fairly when buying their home.
0,The CMA is investigating potential breaches of consumer protection law in the leasehold housing market. 
1,The CMA investigated the anticipated acquisition by Thermo Fisher Scientific Inc of the electron microscope peripherals business of Roper Technologies Inc (the Gatan business)
0,Thermo Fisher has abandoned its anticipated purchase of Gatan after an in-depth CMA merger probe highlighted serious competition concerns.
0,The CMA has found that Iconex’s purchase of two rival receipt paper suppliers Schades and R+S may lead to less choice and higher prices.
0,An order which introduces a range of reforms to the investment consultancy and fiduciary management sector.
0,The CMA is investigating the supply and acquisition of investment consultancy and fiduciary management services in the UK.
0,The CMA has today issued its legally-binding Order to help pension trustees make better decisions for £1.6 trillion of retirement assets that they oversee.
1,The CMA investigated the completed acquisition by Vanilla Group Ltd (JLA) of Washstation Ltd.
0,The Competition and Markets Authority is inviting interested parties to provide views on aspects of the Merger Assessment Guidelines
1,A speech delivered by Andrea Coscelli to the OECD/G7 conference on competition and the digital economy.
1,Evaluation of past merger decisions in the UK digital sector.
0,The CMA fined 5 companies over £7 million for cover bidding.
0,"The CMA is investigating suspected anti-competitive arrangements in the design, construction and fit-out services sector under the Competition Act 1998."
1,The CMA investigated and cleared the anticipated acquisition by Enterprise Rent-A-Car UK Limited of S.H.B Hire Limited.
0,The CMA has published provisional findings in its inquiry into Tobii’s completed merger with Smartbox.
1,The CMA investigated and cleared the anticipated acquisition by Swissport Group UK Ltd of Heathrow Cargo Handling Ltd.
1,The CMA is investigating the completed acquisition by Ausurus Group Ltd through its subsidiary European Metal Recycling Limited of Metal & Waste Recycling Limited.
0,The CMA investigated and cleared the anticipated acquisition by AL-KO Kober Holdings Limited of Bankside Patterson Limited.
0,"Letter to Santander UK plc about its non-compliance with Part 6 of the Retail Banking Market Investigation Order 2017, relating to Alerts."
0,An overview of the Competition and Market Authority's progress against our equality scheme objectives which were set in 2015.
0,The CMA is investigating alleged anti-competitive agreements in the pharmaceutical sector under Chapter I CA98 and Article 101 TFEU (case reference: 50511-2).
0,The CMA has provisionally found that 4 pharmaceutical companies broke the law by agreeing not to compete in the supply of an anti-nausea drug in the UK.
0,"Apple has committed to be clearer and more upfront with iPhone users about battery health and performance, following action by the CMA."
0,The CMA investigated concerns that Apple Inc was breaching consumer law.
1,The CMA investigated and cleared the anticipated acquisition by Broadview Holding BV of Formica Group.
1,The CMA investigated and cleared the proposed acquisition by OSRAM Licht Group of RGI Light (Holdings) Limited and Ring Automotive Limited.
1,The CMA investigated and cleared the anticipated acquisition by ForFarmers UK Limited of the business and certain assets of Bowerings Animal Feeds Limited.
0,The minutes of the CMA board meeting on 17 April 2019
0,The CMA has secured the disqualification of 3 former directors of office fit-out companies for their involvement in illegal cartel behaviour. 
1,The CMA investigated the anticipated acquisition by Visa International Service Association of Earthport plc.
0,Andrew Tyrie spoke to the Social Market Foundation about protecting and promoting the consumer interest in the modern economy.
0,Letter to the Mineral Products Association (MPA) about its non-compliance with the Cement Market Data Remedy Undertakings. 
0,The CMA is consulting on new draft guidance on interim measures in merger investigations.
0,The CMA is seeking the disqualification of a number of directors of estate agencies found to have broken competition law.
0,"The CMA has provisionally cleared PayPal’s completed takeover of mobile payments company iZettle after an in-depth, Phase 2, probe."
0,"The minutes of the CMA board meeting on 20 March 2019

"
0,The CMA and the Gambling Commission have published a letter to mark the closure of their joint programme of work in the remote gambling sector.
1,The CMA investigated and cleared the anticipated acquisition by ARMS Business Solutions Limited of E.M.A.
0,The CMA has secured the disqualification of two former directors whose company admitted it breached competition law.
0,The CMA has secured the disqualification of 2 former directors of CPM Group Ltd following CPM’s admission that it breached competition law.
1,"The CMA has blocked the Sainsbury’s / Asda merger after finding it would lead to increased prices in stores, online and at many petrol stations across the UK."
0,Letters from Andrew Tyrie to the Rt.
0,"The CMA carried out a market study into the statutory audit market, to see if the market is working as well as it should."
0,The Competition and Markets Authority (CMA) has published its final report with recommendations to address serious competition problems in the UK audit industry.
0,The CMA has published provisional findings in its inquiry into Thermo Fisher’s proposed purchase of Gatan from Roper Technology.
0,Information submitted by the Competition and Markets Authority about its role in health mergers.
0,The Competition and Markets Authority (CMA) has launched a new campaign to help holiday and travel businesses improve the clarity of their terms and conditions.
1,The CMA investigated and cleared the completed acquisition by Global Radio Services Limited of Semper Veritas Holdings S.àr.l.
0,"These orders, and the tank transfer price calculator, are intended to make it easier for customers to switch LP gas suppliers."
0,The minutes of the CMA board meeting on 13 February 2019
0,All data on how long the CMA takes to pay invoices.
0,How long the CMA takes to pay invoices.
1,The CMA has found that Rentokil Initial’s takeover of Mitie Pest Control may restrict choice and lead to higher prices for customers.
0,The CMA has provisionally found that Casio has broken competition law by restricting retailer freedom to discount online.
1,"Ecolab’s purchase of Holchem raises competition concerns in relation to cleaning services for food, drink and dairy businesses."
0,A report on the operation of the concurrency arrangements in the regulated sectors from 1 April 2018 to 31 March 2019.
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,"Reports on departmental spending over £25,000."
0,Data on senior officials’ business expenses.
0,The CMA has provisionally found that 3 major suppliers to the construction industry broke competition law.
1,The CMA investigated and cleared the proposed acquisition by RWE AG of a 16.67% minority stake in E.ON SE.
0,"The CMA has today launched a consumer law investigation into Nintendo Switch, PlayStation and Xbox to find out whether their auto-renewal terms are unfair."
0,"The CMA has today launched a consumer law investigation into the auto-renewal practices of Nintendo Switch, Playstation and Xbox.
"
0,The CMA is investigating alleged anti-competitive agreements in the musical instruments and equipment sector under Chapter I CA98 and Article 101 TFEU. 
1,The CMA investigated and cleared the completed acquisition by Headlam Group Plc of the Garrod Bros’ business of distribution of floor covering material.
1,The CMA investigated and cleared the completed acquisition by Headlam Group Plc of Rackhams Ltd.
0,The Competition and Markets Authority (CMA) has today launched an in-depth market investigation into the funerals sector.
0,The CMA today announced it has provisionally found that the UK’s 3 principal suppliers of rolled lead broke competition law.
0,"Guitar supplier Fender Europe has been fined £25,000 by the CMA for hiding relevant documents during an inspection of its UK headquarters."
0,Memorandum of understanding between the Competition and Markets Authority and the Federal Trade Commission of the United States of America.
0,The CMA has secured improvements to the car rental websites of the Big 5 providers and two Spanish companies.
0,CMA holds big 5 car hire firms to account and takes action against 2 Spanish companies.
0,"A letter from Andrea Coscelli to the Permanent Secretary, Business, Energy and Industrial Strategy and Second Permanent Secretary, Her Majesty’s Treasury."
1,The CMA is investigating the anticipated acquisition by Top Online Partners Group Limited of Maple Syrup Group Limited. 
1,The CMA has cancelled its merger investigation into TopCashback’s anticipated acquisition of Quidco.
0,Information for businesses on the Competition and Markets Authority's role after Brexit.
0,The CMA is consulting on proposed revisions to its published guidance on penalty setting in Competition Act (CA98) cases in the event of a ‘no deal’ EU Exit.  
0,Draft guidance on CMA functions in the event of a 'no deal' EU Exit.
0,Guidance to explain how Brexit will affect the powers and processes of the CMA.
0,The register of interests of the members of the Competition and Markets Authority board.
0,The CMA has issued a no grounds for action decision following investigation of discounts offered for Remicade. 
0,CMA closes investigation into drug firm MSD’s discount scheme.
1,The CMA investigated and cleared the anticipated merger of Ensco plc and Rowan Companies plc.
0,The Competition and Markets Authority (CMA) has welcomed the report submitted today by the Digital Competition Expert Panel to the government. 
1,The CMA investigated and cleared the anticipated acquisition by Lakeland Dairies (N.I.) Limited of LacPatrick Co-Operative Society Limited.  
0,"Understand and avoid all types of anti-competitive and cartel activity including price-fixing, collusion, bid-ridding and sharing markets."
0,How the Competition and Markets Authority expects to operate the UK state aid regime in the event of  a no-deal Brexit.
0,Draft procedural guidance on state aid notifications and reporting.
0,"Five companies - Fourfront, Loop, Coriolis, ThirdWay and Oakley - have agreed to pay fines totalling over £7 million after admitting being involved in cartel behaviour. "
0,This paper sets out the CMA’s key findings from its programme of work on vulnerable consumers. 
0,"The CMA has issued 2 decisions imposing fines on suppliers of galvanised steel tanks for breaching competition law.
	"
0,The CMA provisionally finds Auden Mckenzie and Waymade broke the law by agreeing not to compete for the supply of hydrocortisone tablets to the NHS.
0,The CMA investigated the anticipated acquisition by Experian Limited of Credit Laser Holdings Limited (ClearScore) 
1,The CMA has cancelled its merger investigation into Experian’s anticipated purchase of Clearscore. 
0,Principles to help online hotel booking companies change their practices to conform with consumer law.
0,A letter sent from Lord Tyrie to David Lidington CBE MP about the government’s Outsourcing Playbook.
0,A major package of proposals to bolster competition and put consumers even more directly at the heart of the CMA’s work has today been published.
0,A letter and summary outlining proposals for reform of the competition and consumer protection regimes from the Chair of the Competition and Markets Authority
1,The CMA investigated the completed acquisition by Electro Rent Corporation of Test Equipment Asset Management and Microlease Inc.
1,The CMA has provisionally found extensive competition concerns as part of its in-depth investigation of the proposed merger between Sainsbury’s and Asda.
0,Cynthia Dubin appointed non-executive director at the Competition and Markets Authority.
0,Consultation on draft guidance on the CMA’s approach when reviewing Private Patient Unit (PPU) arrangements.
0,Guidance for healthcare providers and their advisers detailing the CMA’s approach to reviewing Private Patient Unit (PPU) arrangements. 
0,The minutes of the CMA board meeting on 16 January 2019
0,A record of the warning and advisory letters about competition law issues sent by the Competition and Markets Authority (CMA).
0,The CMA has welcomed a judgment from the Court of Appeal today upholding its fine on Balmoral Tanks for illegally exchanging price information.
0,"The second set of banking customer satisfaction results have been published today, following an independent survey of thousands of personal and small business customers."
0,How the CMA will deliver on its strategy and vision for 2019 to 2020.
0,"Ensuring markets work in people’s favour is a priority for the CMA, which today publishes its annual plan. "
0,"Details of meetings between the CMA and the Private Hire Car Association, plus Addison Lee and Uber, since January 2017."
0,Response to a request for information on the number of companies reported to the FCA by the CMA for breaches of financial regulations or market abuse.
0,Response to a request for information on the rewards paid for information by the CMA in relation to potential cartels and cases of market abuse.
0,Information on non-disclosure agreements entered into by the Competition and Markets Authority (CMA) in relation to sexual harassment cases.
0,Response to a request for information on the number of complaints received by the CMA about school uniforms and the percentage of those complaints it investigated.
0,"Spending by electronic purchasing card solution (ePCS), over £500."
0,"Spending by electronic purchasing card solution (ePCS), over £500."
